,Feature1,Feature2,Correlation
3,EVLAND,GWETTOP,0.82297849018094
36,GWETPROF,GWETROOT,0.9984549671784987
37,GWETPROF,GWETTOP,0.554755650060901
71,GWETROOT,GWETTOP,0.57141332463394
109,GWETTOP,RH2M,0.623161576706427
110,GWETTOP,RHOA,0.570821443615019
112,GWETTOP,T10M_MAX,-0.5184113756610325
115,GWETTOP,T2M_MAX,-0.5239426897055894
119,GWETTOP,TSOIL1,-0.503758832496666
120,GWETTOP,TSOIL2,-0.5173421567707687
121,GWETTOP,TSOIL3,-0.5321619769689742
122,GWETTOP,TSOIL4,-0.5243002101010517
125,GWETTOP,TS_MAX,-0.5530989104185455
228,QV2M,TS_MIN,0.5172250585826391
246,RH2M,RHOA,0.6896867888265874
247,RH2M,T10M,-0.6500184731327774
248,RH2M,T10M_MAX,-0.7019492452392933
249,RH2M,T10M_MIN,-0.5391613129539907
250,RH2M,T2M,-0.6371869211236193
251,RH2M,T2M_MAX,-0.7045693712811351
252,RH2M,T2M_MIN,-0.5214071244284633
254,RH2M,TS,-0.6191075971890433
255,RH2M,TSOIL1,-0.5989673803419377
256,RH2M,TSOIL2,-0.5692547764941608
257,RH2M,TSOIL3,-0.5142427341209048
261,RH2M,TS_MAX,-0.709007707751477
281,RHOA,T10M,-0.788059502281505
282,RHOA,T10M_MAX,-0.7991843425631571
283,RHOA,T10M_MIN,-0.746805862372536
284,RHOA,T2M,-0.7858879317542427
285,RHOA,T2M_MAX,-0.8056724636163044
286,RHOA,T2M_MIN,-0.7351908942659336
288,RHOA,TS,-0.7857051774665712
289,RHOA,TSOIL1,-0.7787187287495164
290,RHOA,TSOIL2,-0.7618347487140898
291,RHOA,TSOIL3,-0.7224124147425651
292,RHOA,TSOIL4,-0.6165639613105199
295,RHOA,TS_MAX,-0.8238967852553738
296,RHOA,TS_MIN,-0.7033847156334222
316,T10M,T10M_MAX,0.9845657324581226
317,T10M,T10M_MIN,0.9764448498606312
318,T10M,T2M,0.9987671685882406
319,T10M,T2M_MAX,0.9833401480569809
320,T10M,T2M_MIN,0.9723614489693484
322,T10M,TS,0.990134872026229
323,T10M,TSOIL1,0.9835720166811223
324,T10M,TSOIL2,0.9642637850205512
325,T10M,TSOIL3,0.9183826566578797
326,T10M,TSOIL4,0.7916230002321624
329,T10M,TS_MAX,0.9570426384234979
330,T10M,TS_MIN,0.9545216231293914
351,T10M_MAX,T10M_MIN,0.9316236776794004
352,T10M_MAX,T2M,0.9826798612996634
353,T10M_MAX,T2M_MAX,0.9992519455455559
354,T10M_MAX,T2M_MIN,0.9268541989462005
356,T10M_MAX,TS,0.974847599758269
357,T10M_MAX,TSOIL1,0.9632063944645799
358,T10M_MAX,TSOIL2,0.9372915320752577
359,T10M_MAX,TSOIL3,0.8845549687965516
360,T10M_MAX,TSOIL4,0.7521224566337499
363,T10M_MAX,TS_MAX,0.9747829301762313
364,T10M_MAX,TS_MIN,0.9075599289501896
386,T10M_MIN,T2M,0.976782690306423
387,T10M_MIN,T2M_MAX,0.9296087904120627
388,T10M_MIN,T2M_MIN,0.996255092173378
390,T10M_MIN,TS,0.9676366111195207
391,T10M_MIN,TSOIL1,0.9692794968179691
392,T10M_MIN,TSOIL2,0.959983673103248
393,T10M_MIN,TSOIL3,0.9260128136495349
394,T10M_MIN,TSOIL4,0.8186607137153048
397,T10M_MIN,TS_MAX,0.8978870137962489
398,T10M_MIN,TS_MIN,0.9785856133602969
421,T2M,T2M_MAX,0.9823316644222452
422,T2M,T2M_MIN,0.9758581295293324
424,T2M,TS,0.9948972498788701
425,T2M,TSOIL1,0.9895541507047558
426,T2M,TSOIL2,0.9720585765784742
427,T2M,TSOIL3,0.9268104131700773
428,T2M,TSOIL4,0.7978393135968281
431,T2M,TS_MAX,0.9575972866695026
432,T2M,TS_MIN,0.9623526807958865
456,T2M_MAX,T2M_MIN,0.9250427421638701
458,T2M_MAX,TS,0.9768785164978103
459,T2M_MAX,TSOIL1,0.9651919481338209
460,T2M_MAX,TSOIL2,0.9399770418326179
461,T2M_MAX,TSOIL3,0.8872621160635654
462,T2M_MAX,TSOIL4,0.7530423538334923
465,T2M_MAX,TS_MAX,0.9800630531469694
466,T2M_MAX,TS_MIN,0.9059816937136022
492,T2M_MIN,TS,0.9700560894765973
493,T2M_MIN,TSOIL1,0.9742202735838288
494,T2M_MIN,TSOIL2,0.9679832345315401
495,T2M_MIN,TSOIL3,0.935627216871784
496,T2M_MIN,TSOIL4,0.8275868014723811
499,T2M_MIN,TS_MAX,0.8918726612803576
500,T2M_MIN,TS_MIN,0.9905452862425307
561,TS,TSOIL1,0.995496005932946
562,TS,TSOIL2,0.9805492449906811
563,TS,TSOIL3,0.9370482482221386
564,TS,TSOIL4,0.804767248583003
567,TS,TS_MAX,0.9657791539802657
568,TS,TS_MIN,0.9633641010723052
596,TSOIL1,TSOIL2,0.9929992496066412
597,TSOIL1,TSOIL3,0.9575746218039898
598,TSOIL1,TSOIL4,0.8337148232729248
601,TSOIL1,TS_MAX,0.9538215096401302
602,TSOIL1,TS_MIN,0.9705422088746152
631,TSOIL2,TSOIL3,0.9827580279987361
632,TSOIL2,TSOIL4,0.880125973954012
633,TSOIL2,TSOIL5,0.5266087056776034
635,TSOIL2,TS_MAX,0.9316218887573888
636,TSOIL2,TS_MIN,0.9690451315344172
666,TSOIL3,TSOIL4,0.9478900871038618
667,TSOIL3,TSOIL5,0.6502406003888244
669,TSOIL3,TS_MAX,0.8853237081896783
670,TSOIL3,TS_MIN,0.9403401577601495
701,TSOIL4,TSOIL5,0.8500124373597615
703,TSOIL4,TS_MAX,0.7579607553286016
704,TSOIL4,TS_MIN,0.8334594110754232
736,TSOIL5,TSOIL6,0.6254179738970833
806,TS_MAX,TS_MIN,0.8710968840452461
876,WD2M,WD50M,0.8865911907401434
946,WS2M,WS2M_MAX,0.9036326702952259
947,WS2M,WS2M_MIN,0.845662282969694
948,WS2M,WS50M,0.9342400625372833
949,WS2M,WS50M_MAX,0.7931209772799183
950,WS2M,WS50M_MIN,0.8363846887893216
981,WS2M_MAX,WS2M_MIN,0.6330076631828172
982,WS2M_MAX,WS50M,0.850591427816564
983,WS2M_MAX,WS50M_MAX,0.7909615543351847
984,WS2M_MAX,WS50M_MIN,0.6961787880250089
1016,WS2M_MIN,WS50M,0.8121938875975219
1017,WS2M_MIN,WS50M_MAX,0.5792007492095944
1018,WS2M_MIN,WS50M_MIN,0.8564640435404631
1051,WS50M,WS50M_MAX,0.8358623162175383
1052,WS50M,WS50M_MIN,0.879081911057791
1086,WS50M_MAX,WS50M_MIN,0.5851867720871253
